[2024-01-08 13:38:29,527 (/home/mm/ws/src/dal-server/utils/threadpool.py:24 - run())] ERROR -> [<function ProcessHandle.mainLoop at 0x7f915821e280>((<DAL.RCS.processing_handle.ProcessHandle object at 0x7f9128fc4640>,), {})] Process died (Message: list index out of range)
[2024-01-08 13:38:34,093 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 13:38:34,201 (/home/mm/ws/src/dal-server/utils/threadpool.py:24 - run())] ERROR -> [<function ProcessHandle.mainLoop at 0x7f915821e280>((<DAL.RCS.processing_handle.ProcessHandle object at 0x7f9128fc4a60>,), {})] Process died (Message: list index out of range)
[2024-01-08 13:38:36,337 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 13:38:36,440 (/home/mm/ws/src/dal-server/utils/threadpool.py:24 - run())] ERROR -> [<function ProcessHandle.mainLoop at 0x7f915821e280>((<DAL.RCS.processing_handle.ProcessHandle object at 0x7f91287619a0>,), {})] Process died (Message: list index out of range)
[2024-01-08 13:38:43,311 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 13:38:43,421 (/home/mm/ws/src/dal-server/utils/threadpool.py:24 - run())] ERROR -> [<function ProcessHandle.mainLoop at 0x7f915821e280>((<DAL.RCS.processing_handle.ProcessHandle object at 0x7f9128761250>,), {})] Process died (Message: list index out of range)
[2024-01-08 13:42:53,093 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 13:42:56,385 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 13:42:58,212 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 13:55:10,232 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 13:55:12,454 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 14:46:21,743 (/home/mm/ws/src/dal-server/utils/threadpool.py:24 - run())] ERROR -> [<function ProcessHandle.mainLoop at 0x7f466d896280>((<DAL.RCS.processing_handle.ProcessHandle object at 0x7f46406462e0>,), {})] Process died (Message: list index out of range)
[2024-01-08 14:46:55,940 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 14:51:01,842 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 14:51:04,626 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 14:51:06,372 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 14:58:45,628 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 14:58:52,620 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 14:58:54,405 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 15:10:32,665 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 15:10:34,937 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 15:10:37,213 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 15:12:09,187 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 15:12:27,148 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 15:13:27,015 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 15:13:36,578 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 15:14:12,319 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
